Lockheed Martin,,,,Electric Boat Company,,,Lockheed Martin,,,Boeing,,,Raytheon,,,RTX,,,Humana,
State,Obligation,,,State ,Obligation,,State,Obligation,,State,Obligation,,State,Obligation,,State ,Obligation,,State,Obligation
Texas,"$11,347,583,540",,,Connecticut,"$8,577,676,411",,Texas,"$6,714,939,103",,Missouri,"$8,284,764,064",,Arizona,"$7,653,329,073",,Connecticut,"$5,004,469,582",,Kentucky,"$8,029,206,899"
Virginia,"$2,166,854,291",,,Georgia,"$6,354,636",,Arkansas,"$527,216,237",,Washington,"$235,617,562",,Alabama,"$59,812,117",,California,"$28,614,330",,,
Florida,"$816,696,363",,,Hawaii,"$909,798",,Alabama,"$7,387,751",,Florida,"$50,426,576",,Iowa,"$9,294,918",,Georgia,"$2,311,820",,,
Utah,"$9,686,325",,,Rhode Island,"$58,237",,Colorado,"$1,323,848",,California,"$16,449,570",,Florida,"$2,511,205",,Oklahoma,"$1,719,356",,,
California,"$6,842,107",,,Vermont,$0,,California,$0,,Maryland,"$11,784,297",,Kentucky,"$1,348,484",,Maryland,"$1,082,854",,,
Massachusetts,"$6,154,433",,,New Hampshire,"-$39,747",,,,,Texas,"$79,870",,California,"$899,600",,Ohio,"$249,672",,,
New York,"$2,000,000",,,,$0,,,,,Alabama,$0,,Virginia,"$200,000",,Virginia,"$174,173",,,
Georgia,"$1,059",,,Rhode Island,"-$14,355",,,,,Wisconsin,$0,,Ohio,"$150,000",,Florida,$0,,,
Ohio,"$1,000",,,,,,,,,Arizona,$0,,Pennsylvania,"$25,914",,,,,,
Missouri,"-$18,696",,,,,,,,,Oklahoma,"-$689,098",,Rhode Island,$0,,,,,,
,,,,,,,,,,,,,Maryland,"-$58,551",,,,,,
,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
